id,x_m,y_m,lat,lon
142,129.204,47.233,40.4976034,117.0009770
143,129.102,45.385,40.4975868,117.0009758
144,122.626,45.285,40.4975859,117.0008993
145,122.626,29.310,40.4974424,117.0008993
146,129.585,29.422,40.4974434,117.0009815
147,129.254,27.318,40.4974245,117.0009776
148,138.007,27.574,40.4974268,117.0010810
149,137.897,29.099,40.4974405,117.0010797
150,144.593,29.466,40.4974438,117.0011588
151,144.119,45.708,40.4975897,117.0011532
152,137.643,45.285,40.4975859,117.0010767
153,137.643,47.333,40.4976043,117.0010767
154,1.261,13.258,40.4972982,116.9994656
155,1.608,37.804,40.4975187,116.9994697
156,1.490,64.198,40.4977558,116.9994683
157,0.000,88.510,40.4979742,116.9994507
158,0.119,101.668,40.4980924,116.9994521
159,31.948,101.423,40.4980902,116.9998281
160,62.642,101.423,40.4980902,117.0001907
161,91.043,101.078,40.4980871,117.0005262
162,119.443,101.078,40.4980871,117.0008617
163,155.488,100.811,40.4980847,117.0012875
164,167.974,100.633,40.4980831,117.0014350
165,166.907,75.720,40.4978593,117.0014224
166,166.010,57.029,40.4976914,117.0014118
167,167.263,36.568,40.4975076,117.0014266
168,167.263,14.861,40.4973126,117.0014266
169,148.166,14.861,40.4973126,117.0012010
170,120.502,14.327,40.4973078,117.0008742
171,92.837,13.971,40.4973046,117.0005474
172,55.184,12.368,40.4972902,117.0001026
173,31.990,12.902,40.4972950,116.9998286
174,31.287,81.965,40.4979154,116.9998203
175,31.600,61.727,40.4977336,116.9998240
176,30.678,42.914,40.4975646,116.9998131
177,31.389,25.236,40.4974058,116.9998215
178,91.144,83.089,40.4979255,117.0005274
179,90.628,59.879,40.4977170,117.0005213
180,90.840,35.856,40.4975012,117.0005238
181,155.369,81.864,40.4979145,117.0012861
182,155.285,58.365,40.4977034,117.0012851
183,156.275,33.240,40.4974777,117.0012968
184,156.351,14.861,40.4973126,117.0012977
185,1.515,58.921,40.4977084,116.9994686
186,31.423,58.064,40.4977007,116.9998219
187,90.653,58.153,40.4977015,117.0005216
188,59.332,57.864,40.4976989,117.0001516
189,126.385,58.754,40.4977069,117.0009437
190,166.086,58.643,40.4977059,117.0014127
191,132.945,1.002,40.4971881,117.0010212
192,84.194,0.000,40.4971791,117.0004453
193,30.288,1.069,40.4971887,116.9998085
